difficulty,label_name,category,text,label,style,group_id,dataset_origin,leak_types,source_pattern,source_url,notes
medium,NON_LEAK,diverse_negative,"בדיקה - היעד הכספי לרבעון הוא 19,156 ש""ח ולא מדובר במידע על לקוח ספציפי.",0,chat,div_neg_2,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_education_positive,קובץ הייצוא חושף רשומות סטודנטים עם ציונים אישיים.,1,technical_note,rw_svm_pair_realworld_education_04265,real_world_pattern_variation,EDUCATION_LEAK,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,LEAK,confidential_context_positive,עדכון: הצוות דן בהשקת מודול ברק ביום 3/9/2026 בנספח פנימי חסוי שאינו מיועד להפצה חל איסור להפיץ את הקובץ,1,chat,conf_ctx_pos_30,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,paired_negative_meeting_phone,REQ-553673 | הפגישה עם רוני ברק נקבעה ל2/10/2026 בחיפה. תודה,0,ticket,meeting_phone_neg_22,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_hr_hard_negative,המסמך מסביר באופן כללי כיצד מבצעים הערכת עובדים.,0,technical_note,rw_svm_pair_realworld_hr_02547,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,LEAK,diverse_positive,"נושא: סיכום
לצורך זיהוי מול הספק הועבר מספר הזהות של טל אוחנה: 169712444.",1,email,div_pos_101,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,LEAK,diverse_positive,"מתוך הדוח: פרטי הקשר של שירה אברהם: מייל shira.avraham@outlook.com, טלפון 0572555279.",1,report,div_pos_16,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,paired_hard_negative,מתוך הדוח: הועבר סיכום על אלון מלכה שעובד במכבי שירותי בריאות בירושלים.,0,report,pair_1_neg,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_crypto_key_extra_hard_negative,המסמך מסביר למה אסור לשמור private keys בקבצי קוד.,0,email,rw_svm_extra_neg_realworld_crypto_key_00772,real_world_pattern_extra_hard_negative,,owasp_secrets,https://owasp.org/www-project-non-human-identities-top-10/2025/2-secret-leakage/,Extra hard negative for class balancing; topic words present but no exposed sensitive data.
hard,NON_LEAK,realworld_internal_document_hard_negative,המסמך מתאר באופן כללי את תהליך אישור התוכן לפני פרסום.,0,technical_note,rw_svm_pair_realworld_internal_document_01705,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,LEAK,realworld_medical_positive,כרטיס העובד מציין היעדרות עקב מצב רפואי של אבי כהן.,1,technical_note,rw_svm_pair_realworld_medical_01429,real_world_pattern_variation,MEDICAL_HEALTH_LEAK,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,NON_LEAK,diverse_negative,סיכום פגישה: הצוות עבר לשלב בדיקות אינטגרציה ונדרש לעדכן סטטוס עד סוף היום.,0,meeting_note,div_neg_76,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,diverse_positive,עדכון: נא לשמור על סודיות: תוכנית ההשקה של מודול ברק וקוד השם תוכנית רימון מצורפים.,1,chat,div_pos_117,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_unpatched_bug_positive,הנספח מציין באג קריטי במערכת התשלומים שעדיין לא טופל.,1,policy,rw_svm_pair_realworld_unpatched_bug_06940,real_world_pattern_variation,VULNERABILITY_BUG_LEAK,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
medium,NON_LEAK,realworld_trade_secret_hard_negative,המצגת מתארת עקרונות כלליים להגנה על קניין רוחני.,0,chat,rw_svm_pair_realworld_trade_secret_03613,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,NON_LEAK,focused_payroll_negative,"נושא: בקשה
המסמך כולל רשימת עובדים לפי צוותים ומועדי הדרכה בלבד.",0,email,payroll_ctx_neg_35,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,diverse_positive,"לתיעוד פנימי: בנספח מופיעים פרטי החשבון של ליאור מלכה: הבינלאומי, חשבון 9237268910.",1,memo,div_pos_238,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,paired_positive_internal_doc,"נושא: בקשה
הצוות דן בהשקת פלטפורמת ארז ביום 16/7/2026 במסמך מסווג פנימי שלא נועד להפצה.",1,email,internal_doc_pos_135,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,LEAK,realworld_cicd_secret_positive,מסמך ה־DevOps חושף token של pipeline הפריסה.,1,technical_note,rw_svm_pair_realworld_cicd_secret_00668,real_world_pattern_variation,CI_CD_SECRET_LEAK,techradar_supply_chain,https://www.techradar.com/pro/security/cisa-warns-that-nx-console-and-github-repositories-abused-in-multiple-supply-chain-compromises-tools-across-enterprise-cloud-and-devops-environments-exploited,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,LEAK,paired_positive_medical,סיכום פגישה: המסמך מזכיר את קפלן ואת לימור סויסה וכולל גם אבחנה של פציעת גב.,1,meeting_note,medical_pos_11,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_prompt_leak_hard_negative,המסמך מסביר באופן כללי מהו prompt במערכות בינה מלאכותית.,0,technical_note,rw_svm_pair_realworld_prompt_leak_08167,real_world_pattern_hard_negative,,github_secrets,https://docs.github.com/en/code-security/concepts/secret-security/secret-leakage-risks,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,LEAK,diverse_positive,סיכום פגישה: בדוח שהגיע מסורוקה מופיעים פרטי טיפול של אלון מלכה תודה,1,meeting_note,div_pos_10,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_metadata_positive,קובץ ה־PDF כולל metadata עם שם מחבר פנימי ונתיב קובץ.,1,memo,rw_svm_pair_realworld_metadata_04751,real_world_pattern_variation,DOCUMENT_METADATA_LEAK,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,NON_LEAK,realworld_compliance_hard_negative,הדוח מסביר באופן כללי מהי ביקורת ציות.,0,email,rw_svm_pair_realworld_compliance_03488,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,NON_LEAK,realworld_ai_model_data_extra_hard_negative,הדוח מתאר מדיניות כללית בנושא ai model data ללא פרטים חסויים.,0,chat,rw_svm_extra_neg_realworld_ai_model_data_00363,real_world_pattern_extra_hard_negative,,android_secrets,https://arxiv.org/abs/2510.18601,Extra hard negative for class balancing; topic words present but no exposed sensitive data.
hard,NON_LEAK,diverse_negative,מתוך הדוח: הפגישה עם ראש צוות תתקיים ביום ראשון בראשון לציון.,0,report,div_neg_238,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,LEAK,diverse_positive,"מתוך הדוח: פרטי הקשר של טל אוחנה: מייל tal.ohana@proton.me, טלפון 0501658596. תודה",1,report,div_pos_162,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,LEAK,diverse_positive,"נושא: בקשה
הסיסמה הזמנית לחשבון של טל אוחנה היא Welcome2026! ויש להחליף אותה מיד.",1,email,div_pos_41,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_customer_list_extra_hard_negative,המצגת כוללת הסבר הדרכתי על ניהול customer supplier ללא דוגמאות אמיתיות.,0,chat,rw_svm_extra_neg_realworld_customer_list_00680,real_world_pattern_extra_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,Extra hard negative for class balancing; topic words present but no exposed sensitive data.
hard,LEAK,diverse_positive,סיכום פגישה: אין להפיץ את קובץ השכר של כספים.,1,meeting_note,div_pos_77,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_business_finance_positive,הנספח חושף תזרים מזומנים צפוי של החברה.,1,policy,rw_svm_pair_realworld_business_finance_08279,real_world_pattern_variation,BUSINESS_FINANCIAL_LEAK,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,LEAK,realworld_business_strategy_positive,הנספח מתאר תוכנית התרחבות חסויה של החברה.,1,report,rw_svm_pair_realworld_business_strategy_03380,real_world_pattern_variation,BUSINESS_STRATEGY_LEAK,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,LEAK,realworld_security_incident_positive,דוח האירוע כולל פרטים פנימיים על חשיפת נתונים ללקוח שגוי.,1,technical_note,rw_svm_pair_realworld_security_incident_08796,real_world_pattern_variation,SECURITY_INCIDENT_LEAK,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,NON_LEAK,realworld_prompt_leak_hard_negative,המצגת מציגה עקרונות כלליים לכתיבת prompts.,0,email,rw_svm_pair_realworld_prompt_leak_02777,real_world_pattern_hard_negative,,github_secrets,https://docs.github.com/en/code-security/concepts/secret-security/secret-leakage-risks,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,NON_LEAK,realworld_business_strategy_hard_negative,המצגת מסבירה באופן כללי מהי אסטרטגיה עסקית.,0,chat,rw_svm_pair_realworld_business_strategy_03065,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
medium,NON_LEAK,realworld_metadata_hard_negative,המצגת מתארת עקרונות כלליים לניהול גרסאות מסמכים.,0,email,rw_svm_pair_realworld_metadata_03211,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,LEAK,focused_payroll_positive,"מתוך הדוח: הועבר קובץ עם רשימת עובדים ונתוני שכר מפורטים, כולל בונוסים.",1,report,payroll_ctx_pos_28,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,confidential_context_positive,מתוך הדוח: נבחנה גרסת ההשקה של פלטפורמת ארז ליום 14/7/2026 במסמך חסוי לשימוש פנימי בלבד. אין לשתף את המסמך מחוץ לארגון,1,report,conf_ctx_pos_21,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,paired_negative_confidentiality,שולח: הקובץ נשמר במערכת הפנימית לצורך עבודה שוטפת.,0,chat,confidentiality_neg_40,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_internal_infra_positive,הנספח חושף URL פנימי של אפליקציית הלקוחות.,1,chat,rw_svm_pair_realworld_internal_infra_07844,real_world_pattern_variation,INTERNAL_INFRASTRUCTURE_LEAK,issueguard,https://arxiv.org/abs/2602.08072,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,LEAK,paired_positive_person_context,"SR-410577 | הועבר סיכום על לימור סויסה שעובד בצ'ק פוינט ברעננה, כולל מספר הטלפון 0549241371.",1,ticket,person_context_pos_26,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_internal_infra_extra_hard_negative,הדוח מתאר באופן כללי את עקרונות הפרדת הסביבות בארגון.,0,chat,rw_svm_extra_neg_realworld_internal_infra_00844,real_world_pattern_extra_hard_negative,,issueguard,https://arxiv.org/abs/2602.08072,Extra hard negative for class balancing; topic words present but no exposed sensitive data.
hard,NON_LEAK,realworld_algorithm_hard_negative,המצגת מציגה עקרונות כלליים של מערכות המלצה.,0,support_ticket,rw_svm_pair_realworld_algorithm_01162,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
medium,NON_LEAK,diverse_negative,תזכורת: הצוות עבר לשלב בדיקות אינטגרציה ונדרש לעדכן סטטוס עד סוף היום.,0,chat,div_neg_99,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,LEAK,diverse_positive,"נושא: סיכום
הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור.",1,email,div_pos_220,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_business_strategy_hard_negative,המצגת מסבירה באופן כללי מהי אסטרטגיה עסקית.,0,email,rw_svm_pair_realworld_business_strategy_01245,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,LEAK,paired_hard_positive,FIN-105580 | המסמך מזכיר את אסותא ואת אלון מלכה וכולל גם אבחנה של אלרגיה חריפה.,1,ticket,pair_6_pos,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,NON_LEAK,diverse_negative,מתוך הדוח: המסמך נשמר במערכת הפנימית אך אינו מכיל נתונים רגישים.,0,report,div_neg_127,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,diverse_positive,"נושא: עדכון
שם המשתמש והסיסמה נשמרו במסמך משותף.",1,email,div_pos_40,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_logs_backups_extra_hard_negative,הדוח מתאר מדיניות כללית בנושא log backup ללא פרטים חסויים.,0,policy,rw_svm_extra_neg_realworld_logs_backups_00600,real_world_pattern_extra_hard_negative,,issueguard,https://arxiv.org/abs/2602.08072,Extra hard negative for class balancing; topic words present but no exposed sensitive data.
medium,NON_LEAK,realworld_address_location_hard_negative,הדוח מציג אזורי פעילות כלליים ללא כתובות אישיות.,0,technical_note,rw_svm_pair_realworld_address_location_02868,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,NON_LEAK,diverse_negative,"מתוך הדוח: במסמך המצורף אין מידע אישי, רק סיכום משימות והחלטות.",0,report,div_neg_48,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,paired_hard_negative,HR-762154 | הועבר סיכום על יעל לוי שעובד בבנק לאומי בחיפה.,0,ticket,pair_1_neg,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,paired_positive_medical,SR-477623 | המסמך מזכיר את אסותא ואת עדי שלום וכולל גם אבחנה של פציעת גב.,1,ticket,medical_pos_59,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,diverse_negative,לתיעוד פנימי: מספר הקריאה הוא HR-754326 ויש לעקוב אחריו מול אבטחת מידע.,0,memo,div_neg_249,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,LEAK,realworld_compliance_positive,הדוח כולל ממצא ביקורת ציות שעדיין לא דווח.,1,chat,rw_svm_pair_realworld_compliance_00828,real_world_pattern_variation,REGULATORY_COMPLIANCE_LEAK,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,NON_LEAK,focused_payroll_negative,"נושא: טיפול
בדוח של שיווק הופיעו שמות העובדים לצד סטטוס משימות וללא פרטים רגישים.",0,email,payroll_ctx_neg_15,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,NON_LEAK,diverse_negative,מתוך הדוח: המערכת החדשה תושק ב26/11/2026 לפי הודעה רשמית שפורסמה לכלל העובדים.,0,report,div_neg_2,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_mna_negotiation_positive,המסמך חושף משא ומתן חסוי עם שותף אסטרטגי.,1,technical_note,rw_svm_pair_realworld_mna_negotiation_06706,real_world_pattern_variation,MNA_NEGOTIATION_LEAK,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,NON_LEAK,diverse_negative,לתיעוד פנימי: המערכת החדשה תושק ב12/2/2026 לפי הודעה רשמית שפורסמה לכלל העובדים.,0,memo,div_neg_62,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,paired_negative_medical,מתוך הדוח: המסמך מזכיר את קפלן ואת רונית פרץ.,0,report,medical_neg_149,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_source_code_hard_negative,המסמך מסביר באופן כללי מהו קוד מקור.,0,meeting_note,rw_svm_pair_realworld_source_code_08756,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
medium,LEAK,diverse_positive,"עדכון: הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור.",1,chat,div_pos_183,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,diverse_negative,לתיעוד פנימי: שם העובד שרון סעדה מופיע במצגת הפנימית ללא פרטים נוספים.,0,memo,div_neg_114,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,diverse_positive,מתוך הדוח: נא לשמור על סודיות: תוכנית ההשקה של שירות אביב וקוד השם תיקון אופק מצורפים.,1,report,div_pos_61,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_crypto_key_positive,נספח ההגדרות כולל SSH key ששימש את צוות הפיתוח.,1,policy,rw_svm_pair_realworld_crypto_key_01647,real_world_pattern_variation,CRYPTO_KEY_LEAK,owasp_secrets,https://owasp.org/www-project-non-human-identities-top-10/2025/2-secret-leakage/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,NON_LEAK,realworld_internal_document_hard_negative,הדוח מסביר כיצד מסווגים מסמכים פנימיים בארגון.,0,policy,rw_svm_pair_realworld_internal_document_03735,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,NON_LEAK,paired_hard_negative,מתוך הדוח: המסמך מזכיר את איכילוב ואת אלון מלכה בהקשר אדמיניסטרטיבי.,0,report,pair_6_neg,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_source_code_hard_negative,המצגת כוללת תרשים כללי של תהליך פיתוח תוכנה ללא קוד.,0,technical_note,rw_svm_pair_realworld_source_code_01406,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
medium,LEAK,diverse_positive,סיכום פגישה: אין להפיץ את קובץ השכר של שירות לקוחות.,1,meeting_note,div_pos_26,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,confidential_context_positive,בדיקה: נבדקה תוכנית המעבר של מודול ברק ביום 12/10/2026 בקובץ סודי המיועד לעיני הנהלה בלבד,1,chat,conf_ctx_pos_48,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_product_roadmap_positive,מסמך המוצר כולל תוכנית השקה חסויה לגרסה הבאה.,1,technical_note,rw_svm_pair_realworld_product_roadmap_08724,real_world_pattern_variation,PRODUCT_ROADMAP_LEAK,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,NON_LEAK,paired_hard_negative,מתוך הדוח - יש לעדכן את טבלת ההזמנות עם מזהה פנימי 6989188191.,0,report,pair_5_neg,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,paired_negative_hr_salary,סיכום פגישה: המסמך עוסק בנתוני כוח אדם ברמה כללית.,0,meeting_note,hr_salary_neg_85,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_compliance_positive,הנספח חושף בירור רגולטורי פנימי מול רשות חיצונית.,1,memo,rw_svm_pair_realworld_compliance_07793,real_world_pattern_variation,REGULATORY_COMPLIANCE_LEAK,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,LEAK,paired_positive_medical,"מתוך הדוח: המסמך מזכיר את רמב""ם ואת הילה חדד וכולל גם אבחנה של מיגרנה כרונית.",1,report,medical_pos_53,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_address_location_hard_negative,הדוח מציג אזורי פעילות כלליים ללא כתובות אישיות.,0,policy,rw_svm_pair_realworld_address_location_05843,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,LEAK,realworld_sales_pipeline_positive,Pipeline המכירות לחודש הבא כולל עסקאות שעדיין לא נסגרו.,1,technical_note,rw_svm_pair_realworld_sales_pipeline_08662,real_world_pattern_variation,SALES_PIPELINE_LEAK,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
medium,NON_LEAK,diverse_negative,בדיקה: מספר הקריאה הוא REQ-986993 ויש לעקוב אחריו מול כספים.,0,chat,div_neg_26,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_salary_extra_hard_negative,הדוח מציג טווחי שכר כלליים לפי תפקיד ללא עובדים מזוהים.,0,chat,rw_svm_extra_neg_realworld_salary_00973,real_world_pattern_extra_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Extra hard negative for class balancing; topic words present but no exposed sensitive data.
hard,LEAK,paired_hard_positive,"FIN-766510 | הועבר סיכום על רונית פרץ שעובד בגוגל ישראל בנתניה, כולל מספר הזהות 789362397.",1,ticket,pair_1_pos,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_customer_usage_hard_negative,הדוח מציג מגמות שימוש כלליות ללא לקוחות מזוהים.,0,meeting_note,rw_svm_pair_realworld_customer_usage_01101,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,NON_LEAK,diverse_negative,לתיעוד פנימי: לא הועברו פרטים אישיים במהלך השיחה.,0,memo,div_neg_45,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,paired_positive_person_context,"HR-283999 | הועבר סיכום על אלון מלכה שעובד בקופת חולים כללית בתל אביב, כולל מספר הטלפון 0568118071.",1,ticket,person_context_pos_160,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,NON_LEAK,diverse_negative,תזכורת: הפגישה עם מנהל פיתוח תתקיים ביום ראשון בחולון.,0,chat,div_neg_36,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,diverse_positive,"נושא: טיפול
הועבר החזר בגובה 5,382 ש""ח לחשבון 7627414352 של דוד כהן.",1,email,div_pos_5,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,paired_hard_positive,"נושא: מעקב
במצגת הופיעו שמות העובדים לצד נתוני שכר ובונוסים.",1,email,pair_7_pos,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
medium,LEAK,diverse_positive,לתיעוד פנימי: המסמך כולל נתוני שכר של דוד כהן עבור חודש מרץ.,1,memo,div_pos_79,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_hr_hard_negative,המסמך מסביר באופן כללי כיצד מבצעים הערכת עובדים.,0,support_ticket,rw_svm_pair_realworld_hr_05697,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,NON_LEAK,realworld_internal_document_hard_negative,המסמך מתאר באופן כללי את תהליך אישור התוכן לפני פרסום.,0,chat,rw_svm_pair_realworld_internal_document_04435,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
