difficulty,label_name,category,text,label,style,group_id
hard,NON_LEAK,diverse_negative,"שולח: בדוח מופיע רק שם החברה צ'ק פוינט ותאריך יעד 28/11/2026, ללא מידע אישי.",0,chat,div_neg_51
hard,NON_LEAK,paired_negative_medical,עדכון: המסמך מזכיר את איכילוב ואת עמית אלקיים.,0,chat,medical_neg_95
medium,NON_LEAK,diverse_negative,"נושא: סיכום
המערכת החדשה תושק ב26/10/2026 לפי הודעה רשמית שפורסמה לכלל העובדים. תודה",0,email,div_neg_226
hard,NON_LEAK,paired_negative_bank_account,בדיקה: יש לעדכן את טבלת ההזמנות עבור שלומי תורג'מן.,0,chat,bank_account_neg_16
hard,LEAK,diverse_positive,"לתיעוד פנימי: בנספח מופיעים פרטי החשבון של ניר ביטון: בנק לאומי, חשבון 5641846567. תודה",1,memo,div_pos_60
hard,LEAK,diverse_positive,"מתוך הדוח - בדוח שהגיע מרמב""ם מופיעים פרטי טיפול של הילה חדד והאבחנה אלרגיה חריפה.",1,report,div_pos_193
hard,NON_LEAK,paired_negative_internal_doc,תזכורת: הצוות דן בהשקת מוצר אופק ביום 25/3/2026.,0,chat,internal_doc_neg_174
hard,LEAK,paired_positive_person_context,"בדיקה: הועבר סיכום על יואב לוי שעובד בבזק בבאר שבע, כולל מספר הטלפון 0550478277.",1,chat,person_context_pos_73
hard,LEAK,paired_positive_person_context,"סיכום פגישה: הועבר סיכום על אלון מלכה שעובד בAmdocs בהרצליה, כולל מספר הטלפון 0581227645.",1,meeting_note,person_context_pos_46
hard,NON_LEAK,paired_hard_negative,"סיכום פגישה - המסמך מזכיר את רמב""ם ואת אילן שבתאי בהקשר אדמיניסטרטיבי.",0,meeting_note,pair_6_neg
hard,NON_LEAK,paired_negative_medical,"נושא: עדכון
המסמך מזכיר את קפלן ואת רון חדד.",0,email,medical_neg_72
hard,LEAK,paired_hard_positive,"נושא - טיפול
הפגישה עם משה אוחנה נקבעה ל20/11/2026 בהרצליה, ובמסמך צורף גם הטלפון 0529028653.",1,email,pair_2_pos
hard,NON_LEAK,paired_negative_meeting_phone,שולח: הפגישה עם שלומי תורג'מן נקבעה ל2/1/2026 באשקלון.,0,chat,meeting_phone_neg_7
medium,NON_LEAK,diverse_negative,"נושא: בקשה
המסמך נשמר במערכת הפנימית אך אינו מכיל נתונים רגישים. תודה",0,email,div_neg_186
hard,NON_LEAK,paired_negative_meeting_phone,סיכום פגישה: הפגישה עם עמית אלקיים נקבעה ל12/7/2026 בחיפה. תודה,0,meeting_note,meeting_phone_neg_4
hard,LEAK,paired_positive_person_context,"SEC-641700 | הועבר סיכום על שלומי תורג'מן שעובד בהראל במודיעין, כולל מספר הטלפון 0545257378.",1,ticket,person_context_pos_27
hard,NON_LEAK,diverse_negative,לתיעוד פנימי: המסמך נשמר במערכת הפנימית אך אינו מכיל נתונים רגישים. תודה,0,memo,div_neg_151
hard,LEAK,confidential_context_positive,בדוח נכתב כי: הוחלט לעדכן את לוח הזמנים של גרסה 42 ליום 26/12/2026 בחומר מסווג המיועד לשימוש פנימי בלבד. אין לשתף את הקובץ מחוץ לארגון,1,report,conf_ctx_pos_71
hard,LEAK,diverse_positive,עדכון: בדוח שהגיע מסורוקה מופיעים פרטי טיפול של רוני ברק והאבחנה חרדה. תודה,1,chat,div_pos_136
medium,NON_LEAK,diverse_negative,סיכום פגישה: מספר הקריאה הוא REQ-589782 ויש לעקוב אחריו מול שיווק.,0,meeting_note,div_neg_6
medium,LEAK,diverse_positive,סיכום פגישה: במסמך הזה מופיעים פרטים אישיים ופרטי קשר של לקוחות. תודה,1,meeting_note,div_pos_210
hard,NON_LEAK,diverse_negative,לתיעוד פנימי: שם העובד נועה מזרחי מופיע במצגת הפנימית ללא פרטים נוספים.,0,memo,div_neg_38
hard,LEAK,diverse_positive,"סיכום פגישה: בנספח מופיעים פרטי החשבון של איתי פרץ: מזרחי טפחות, חשבון 4128782090.",1,meeting_note,div_pos_41
medium,NON_LEAK,diverse_negative,"לתיעוד פנימי: הלקוח ביקש עדכון על הפרויקט, אבל לא נשלחו פרטי קשר או מזהים.",0,memo,div_neg_54
hard,NON_LEAK,paired_negative_email_context,"נושא: בקשה
בדוח מופיע איש קשר בשם שירה אברהם.",0,email,email_context_neg_102
hard,NON_LEAK,diverse_negative,"INC-307562 | הלקוח ביקש עדכון על הפרויקט, אבל לא נשלחו פרטי קשר או מזהים. תודה",0,ticket,div_neg_31
medium,NON_LEAK,diverse_negative,סיכום פגישה: הפגישה עם ראש צוות תתקיים ביום ראשון באשקלון.,0,meeting_note,div_neg_46
hard,LEAK,paired_positive_meeting_phone,"לתיעוד פנימי: הפגישה עם יעל לוי נקבעה ל28/7/2026 באשקלון, ובמסמך צורף גם הטלפון 0583483152.",1,memo,meeting_phone_pos_24
medium,LEAK,diverse_positive,מתוך הדוח: הסיסמה הזמנית לחשבון של קרן אמסלם היא Welcome2026! ויש להחליף אותה מיד.,1,report,div_pos_246
hard,NON_LEAK,diverse_negative,"לתיעוד פנימי: הפגישה עם קב""ט תתקיים ביום ראשון בבאר שבע.",0,memo,div_neg_117
hard,NON_LEAK,paired_negative_bank_account,"נושא: מעקב
יש לעדכן את טבלת ההזמנות עבור אורן אברהם.",0,email,bank_account_neg_151
hard,NON_LEAK,paired_hard_negative,INC-306275 | בדוח הלקוח מופיע איש קשר בשם אילן שבתאי,0,ticket,pair_3_neg
medium,NON_LEAK,diverse_negative,לתיעוד פנימי: לא נמסרו פרטים מזהים נוספים מעבר לשם החברה.,0,memo,div_neg_175
hard,LEAK,confidential_context_positive,סיכום ישיבה: נבחנה גרסת ההשקה של פרויקט נוגה ביום 4/9/2026 במסמך פנימי מסווג שאין להעביר מחוץ לצוות. חל איסור להפיץ את הקובץ,1,meeting_note,conf_ctx_pos_27
hard,LEAK,diverse_positive,תזכורת: הסיסמה הזמנית לחשבון של עדי שלום היא Welcome2026! ויש להחליף אותה מיד.,1,chat,div_pos_59
hard,LEAK,paired_positive_internal_doc,סיכום פגישה: הצוות דן בהשקת מערכת קשת ביום 26/10/2026 במסמך מסווג פנימי שלא נועד להפצה.,1,meeting_note,internal_doc_pos_172
hard,LEAK,paired_positive_medical,FIN-671066 | המסמך מזכיר את שיבא ואת ליאור מלכה וכולל גם אבחנה של דלקת ריאות.,1,ticket,medical_pos_39
hard,NON_LEAK,diverse_negative,לתיעוד פנימי - המסמך נשמר במערכת הפנימית אך אינו מכיל נתונים רגישים.,0,memo,div_neg_248
hard,LEAK,paired_positive_email_context,תזכורת: בדוח מופיע איש קשר בשם נועה מזרחי יחד עם המייל noa.mizrahi@proton.me.,1,chat,email_context_pos_66
hard,LEAK,paired_positive_internal_doc,לתיעוד פנימי: הצוות דן בהשקת פרויקט נוגה ביום 2/7/2026 במסמך מסווג פנימי שלא נועד להפצה.,1,memo,internal_doc_pos_166
hard,LEAK,confidential_context_positive,"נושא: מעקב
הוחלט לעדכן את לוח הזמנים של פרויקט דרור ביום 8/4/2026 במסמך רגיש שאין לשתף מחוץ למחלקה",1,email,conf_ctx_pos_47
hard,NON_LEAK,paired_negative_internal_doc,לתיעוד פנימי: הצוות דן בהשקת פלטפורמת ארז ביום 28/11/2026.,0,memo,internal_doc_neg_47
hard,LEAK,diverse_positive,"נושא - טיפול
פרטי הקשר של רון חדד - מייל ron.hadad@mail.com, טלפון 0529722885.",1,email,div_pos_51
hard,NON_LEAK,paired_negative_confidentiality,מתוך הדוח: הקובץ נשמר במערכת הפנימית לצורך עבודה שוטפת.,0,report,confidentiality_neg_5
medium,LEAK,diverse_positive,מתוך הדוח: בדוח משאבי האנוש מופיעים נתוני השכר של מיכל כהן עבור חודש מרץ,1,report,div_pos_47
hard,LEAK,diverse_positive,לתיעוד פנימי: המסמך כולל נתוני שכר של אלון מלכה עבור חודש מרץ.,1,memo,div_pos_9
hard,LEAK,paired_hard_positive,לתיעוד פנימי: הצוות דן בהשקת מוצר אופק ביום 10/6/2026 במסמך מסווג פנימי שלא נועד להפצה.,1,memo,pair_4_pos
medium,LEAK,diverse_positive,"מתוך הדוח: הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור.",1,report,div_pos_17
hard,LEAK,paired_hard_positive,בדיקה - הצוות דן בהשקת פלטפורמת ארז ביום 12/12/2026 במסמך מסווג פנימי שלא נועד להפצה.,1,chat,pair_4_pos
hard,NON_LEAK,diverse_negative,"נושא: מעקב
היעד הכספי לרבעון הוא 29,760 ש""ח ולא מדובר במידע על לקוח ספציפי.",0,email,div_neg_56
hard,LEAK,paired_hard_positive,לתיעוד פנימי: הצוות דן בהשקת פלטפורמת ארז ביום 8/4/2026 במסמך מסווג פנימי שלא נועד להפצה.,1,memo,pair_4_pos
medium,LEAK,diverse_positive,"לתיעוד פנימי: הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור.",1,memo,div_pos_235
hard,LEAK,paired_hard_positive,HR-333796 | המסמך מזכיר את איכילוב ואת רונית פרץ וכולל גם אבחנה של דלקת ריאות,1,ticket,pair_6_pos
hard,NON_LEAK,diverse_negative,FIN-375784 | בדשבורד הציבורי מופיע סטטוס כללי של פרויקט תיקון אופק.,0,ticket,div_neg_146
hard,LEAK,confidential_context_positive,INC-443897 | נבדקה תוכנית המעבר של מודול ברק ביום 7/5/2026 בקובץ פנימי חסוי שאסור להעביר לגורמים חיצוניים. אין לשתף את המסמך מחוץ לארגון,1,ticket,conf_ctx_pos_45
hard,NON_LEAK,diverse_negative,SR-112758 | שם העובד איתי פרץ מופיע במצגת הפנימית ללא פרטים נוספים. תודה,0,ticket,div_neg_45
hard,LEAK,diverse_positive,"נושא: בקשה
הסיסמה הזמנית לחשבון של נטע מימון היא Welcome2026! ויש להחליף אותה מיד.",1,email,div_pos_51
hard,NON_LEAK,paired_negative_medical,מתוך הדוח: המסמך מזכיר את אסותא ואת מיכל כהן.,0,report,medical_neg_144
hard,LEAK,confidential_context_positive,מתוך הדוח: הצוות דן בהשקת פרויקט רימון ביום 27/3/2026 בנספח פנימי חסוי שאינו מיועד להפצה. תודה,1,report,conf_ctx_pos_64
medium,NON_LEAK,diverse_negative,REQ-466081 | מספר הקריאה הוא INC-470862 ויש לעקוב אחריו מול מכירות. תודה,0,ticket,div_neg_159
hard,LEAK,focused_payroll_positive,"סיכום פגישה: בדוח של מכירות הופיעו שמות העובדים לצד נתוני שכר, בונוסים והערות אישיות. תודה",1,meeting_note,payroll_ctx_pos_13
hard,NON_LEAK,paired_hard_negative,מתוך הדוח - הצוות דן בהשקת שירות אביב ביום 24/7/2026.,0,report,pair_4_neg
hard,NON_LEAK,diverse_negative,סיכום פגישה: המערכת החדשה תושק ב13/4/2026 לפי הודעה רשמית שפורסמה לכלל העובדים.,0,meeting_note,div_neg_174
medium,LEAK,diverse_positive,"נושא: עדכון
במסמך הזה מופיעים פרטים אישיים ופרטי קשר של לקוחות.",1,email,div_pos_100
hard,LEAK,diverse_positive,HR-991672 | שם המשתמש והסיסמה נשמרו במסמך משותף.,1,ticket,div_pos_78
hard,NON_LEAK,diverse_negative,מתוך הדוח: הצוות עבר לשלב בדיקות אינטגרציה ונדרש לעדכן סטטוס עד סוף היום.,0,report,div_neg_145
medium,NON_LEAK,diverse_negative,"עדכון: היעד הכספי לרבעון הוא 28,481 ש""ח ולא מדובר במידע על לקוח ספציפי. תודה",0,chat,div_neg_129
hard,NON_LEAK,paired_hard_negative,"נושא - בקשה
במצגת הופיעו שמות העובדים לצורך חלוקת משימות. תודה",0,email,pair_7_neg
hard,NON_LEAK,diverse_negative,"סיכום פגישה: הלקוח ביקש עדכון על הפרויקט, אבל לא נשלחו פרטי קשר או מזהים. תודה",0,meeting_note,div_neg_44
hard,LEAK,paired_hard_positive,סיכום פגישה: יש לעדכן את טבלת ההזמנות עם חשבון הבנק 5129086832 של ניר ביטון.,1,meeting_note,pair_5_pos
hard,LEAK,paired_positive_email_context,מתוך הדוח: בדוח מופיע איש קשר בשם רונית פרץ יחד עם המייל ronit.peretz@company.co.il.,1,report,email_context_pos_36
medium,NON_LEAK,diverse_negative,"נושא: טיפול
מספר הקריאה הוא REQ-695512 ויש לעקוב אחריו מול אבטחת מידע.",0,email,div_neg_199
hard,LEAK,paired_positive_confidentiality,לתיעוד פנימי: הקובץ נשמר במערכת הפנימית והוא מסווג לשימוש פנימי בלבד ואינו נועד להפצה.,1,memo,confidentiality_pos_114
hard,NON_LEAK,diverse_negative,REQ-092565 | לא הועברו פרטים אישיים במהלך השיחה.,0,ticket,div_neg_201
hard,LEAK,focused_payroll_positive,INC-201916 | במצגת הופיעו שמות העובדים לצד נתוני שכר ובונוסים.,1,ticket,payroll_ctx_pos_55
medium,LEAK,diverse_positive,סיכום פגישה: אין להפיץ את קובץ השכר של משאבי אנוש.,1,meeting_note,div_pos_60
medium,LEAK,diverse_positive,סיכום פגישה - אין להפיץ את קובץ השכר של שירות לקוחות.,1,meeting_note,div_pos_39
hard,NON_LEAK,focused_payroll_negative,מתוך הדוח: המסמך כולל פירוט תפקידים ושמות עובדים במחלקת פיתוח בלבד. תודה,0,report,payroll_ctx_neg_73
hard,NON_LEAK,paired_hard_negative,"נושא: בקשה
הועבר סיכום על דוד כהן שעובד בנייס באשדוד תודה",0,email,pair_1_neg
medium,NON_LEAK,diverse_negative,תזכורת: בדשבורד הציבורי מופיע סטטוס כללי של פרויקט מבצע שקמה.,0,chat,div_neg_49
medium,NON_LEAK,diverse_negative,תזכורת: המסמך נשמר במערכת הפנימית אך אינו מכיל נתונים רגישים.,0,chat,div_neg_21
medium,LEAK,diverse_positive,"סיכום פגישה: הועבר דוח עם רשימת לקוחות אסטרטגיים, הצעות מחיר ותנאי התקשרות.",1,meeting_note,div_pos_114
hard,LEAK,diverse_positive,לתיעוד פנימי: שם המשתמש והסיסמה נשמרו במסמך משותף.,1,memo,div_pos_65
hard,LEAK,diverse_positive,"HR-473027 | בנספח מופיעים פרטי החשבון של יואב לוי: בנק לאומי, חשבון 7247264378.",1,ticket,div_pos_4
hard,NON_LEAK,paired_negative_email_context,מתוך הדוח: בדוח מופיע איש קשר בשם עמית אלקיים. תודה,0,report,email_context_neg_20
hard,NON_LEAK,paired_negative_email_context,סיכום פגישה: בדוח מופיע איש קשר בשם דנה דנינו.,0,meeting_note,email_context_neg_72
hard,LEAK,paired_positive_meeting_phone,"HR-198554 | הפגישה עם שירה אברהם נקבעה ל22/7/2026 במודיעין, ובמסמך צורף גם הטלפון 0517396271.",1,ticket,meeting_phone_pos_121
hard,LEAK,paired_hard_positive,INC-550925 | המסמך מזכיר את איכילוב ואת עדי שלום וכולל גם אבחנה של פציעת גב. תודה,1,ticket,pair_6_pos
medium,LEAK,diverse_positive,לתיעוד פנימי: בדוח משאבי האנוש מופיעים נתוני השכר של עמית אלקיים עבור חודש מרץ. תודה,1,memo,div_pos_32
medium,LEAK,diverse_positive,סיכום פגישה: אין להפיץ את קובץ השכר של רכש.,1,meeting_note,div_pos_132
medium,LEAK,diverse_positive,"נושא: בקשה
אין להפיץ את קובץ השכר של כספים.",1,email,div_pos_122
hard,LEAK,paired_hard_positive,"סיכום פגישה - הועבר סיכום על ניר ביטון שעובד במכבי שירותי בריאות בירושלים, כולל מספר הזהות 864814163.",1,meeting_note,pair_1_pos
hard,LEAK,paired_positive_email_context,מתוך הדוח: בדוח מופיע איש קשר בשם רון חדד יחד עם המייל ron.hadad@mail.com.,1,report,email_context_pos_190
hard,LEAK,paired_hard_positive,תזכורת - יש לעדכן את טבלת ההזמנות עם חשבון הבנק 6806584104 של אלון מלכה.,1,chat,pair_5_pos
hard,LEAK,paired_hard_positive,"נושא: עדכון
הפגישה עם טל אוחנה נקבעה ל14/5/2026 בנתניה, ובמסמך צורף גם הטלפון 0582006752.",1,email,pair_2_pos
hard,NON_LEAK,paired_negative_meeting_phone,"נושא: מעקב
הפגישה עם קרן אמסלם נקבעה ל5/4/2026 בחיפה. תודה",0,email,meeting_phone_neg_119
hard,NON_LEAK,diverse_negative,מתוך הדוח: שם העובד שירה אברהם מופיע במצגת הפנימית ללא פרטים נוספים.,0,report,div_neg_28
hard,NON_LEAK,diverse_negative,"מתוך הדוח: בדוח מופיע רק שם החברה שטראוס ותאריך יעד 26/11/2026, ללא מידע אישי.",0,report,div_neg_10
hard,NON_LEAK,diverse_negative,HR-637709 | לא נמסרו פרטים מזהים נוספים מעבר לשם החברה.,0,ticket,div_neg_43
medium,LEAK,diverse_positive,מתוך הדוח: נא לשמור על סודיות: תוכנית ההשקה של מוצר אופק וקוד השם מבצע שקמה מצורפים.,1,report,div_pos_156
hard,NON_LEAK,paired_negative_email_context,"נושא: סיכום
בדוח מופיע איש קשר בשם דנה דנינו.",0,email,email_context_neg_136
hard,NON_LEAK,diverse_negative,לתיעוד פנימי: הפגישה עם מנהל אבטחת מידע תתקיים ביום ראשון בבאר שבע.,0,memo,div_neg_46
hard,LEAK,paired_hard_positive,מתוך הדוח: המסמך מזכיר את סורוקה ואת אלון מלכה וכולל גם אבחנה של סוכרת.,1,report,pair_6_pos
hard,LEAK,focused_payroll_positive,"סיכום פגישה: המסמך כולל פירוט שכר, בונוסים ושמות העובדים במחלקת שירות לקוחות.",1,meeting_note,payroll_ctx_pos_13
hard,LEAK,diverse_positive,שולח: בדוח שהגיע מאסותא מופיעים פרטי טיפול של עמית אלקיים. תודה,1,chat,div_pos_37
hard,LEAK,paired_hard_positive,"סיכום פגישה: הפגישה עם יעל לוי נקבעה ל25/1/2026 במודיעין, ובמסמך צורף גם הטלפון 0567567929",1,meeting_note,pair_2_pos
hard,LEAK,focused_payroll_positive,סיכום פגישה: במצגת הופיעו שמות העובדים לצד נתוני שכר ובונוסים.,1,meeting_note,payroll_ctx_pos_49
hard,NON_LEAK,paired_hard_negative,לתיעוד פנימי: במצגת הופיעו שמות העובדים לצורך חלוקת משימות.,0,memo,pair_7_neg
medium,LEAK,diverse_positive,REQ-655320 | הסיסמה הזמנית לחשבון של נועה מזרחי היא Welcome2026! ויש להחליף אותה מיד.,1,ticket,div_pos_202
hard,LEAK,diverse_positive,סיכום פגישה: בדוח משאבי האנוש מופיעים נתוני השכר של ניר ביטון עבור חודש מרץ,1,meeting_note,div_pos_9
hard,LEAK,paired_positive_hr_salary,"סיכום פגישה: המסמך כולל נתוני שכר, מספרי זהות והערות אישיות של עובדים.",1,meeting_note,hr_salary_pos_56
hard,LEAK,paired_hard_positive,"נושא: טיפול
הועבר סיכום על קרן אמסלם שעובד באלביט בנתניה, כולל מספר הזהות 864853554",1,email,pair_1_pos
medium,NON_LEAK,diverse_negative,"לתיעוד פנימי: הלקוח ביקש עדכון על הפרויקט, אבל לא נשלחו פרטי קשר או מזהים. תודה",0,memo,div_neg_219
hard,NON_LEAK,paired_hard_negative,"נושא: טיפול
המסמך מזכיר את איכילוב ואת טל אוחנה בהקשר אדמיניסטרטיבי",0,email,pair_6_neg
hard,LEAK,paired_hard_positive,"סיכום פגישה: הפגישה עם שרון סעדה נקבעה ל22/2/2026 בתל אביב, ובמסמך צורף גם הטלפון 0542365409.",1,meeting_note,pair_2_pos
medium,LEAK,diverse_positive,"נושא - טיפול
פרטי הקשר של דוד כהן - מייל david.cohen@company.co.il, טלפון 0521525741.",1,email,div_pos_99
medium,LEAK,diverse_positive,סיכום פגישה: שם המשתמש והסיסמה נשמרו במסמך משותף.,1,meeting_note,div_pos_218
hard,LEAK,diverse_positive,מתוך הדוח: שם המשתמש והסיסמה נשמרו במסמך משותף.,1,report,div_pos_204
hard,NON_LEAK,paired_hard_negative,לתיעוד פנימי: הפגישה עם אורן אברהם נקבעה ל27/9/2026 בהרצליה,0,memo,pair_2_neg
hard,NON_LEAK,paired_negative_email_context,INC-108727 | בדוח מופיע איש קשר בשם רונית פרץ.,0,ticket,email_context_neg_194
hard,LEAK,focused_payroll_positive,"לתיעוד פנימי: המסמך כולל פירוט שכר, בונוסים ושמות העובדים במחלקת שירות לקוחות.",1,memo,payroll_ctx_pos_50
hard,LEAK,diverse_positive,מתוך הדוח: הסיסמה הזמנית לחשבון של אביטל שחר היא Welcome2026! ויש להחליף אותה מיד.,1,report,div_pos_4
hard,LEAK,diverse_positive,"INC-026258 | פרטי הקשר של עמית אלקיים: מייל amit.elkayim@outlook.com, טלפון 0512809890.",1,ticket,div_pos_54
hard,NON_LEAK,diverse_negative,"נושא - מעקב
המסמך נשמר במערכת הפנימית אך אינו מכיל נתונים רגישים.",0,email,div_neg_129
hard,NON_LEAK,paired_negative_confidentiality,בדיקה: הקובץ נשמר במערכת הפנימית לצורך עבודה שוטפת.,0,chat,confidentiality_neg_97
hard,LEAK,diverse_positive,"INC-131081 | הועבר דוח עם רשימת לקוחות אסטרטגיים, הצעות מחיר ותנאי התקשרות.",1,ticket,div_pos_27
hard,LEAK,paired_hard_positive,"REQ-215657 | הועבר סיכום על מאיה ביטון שעובד בצ'ק פוינט במודיעין, כולל מספר הזהות 892570816. תודה",1,ticket,pair_1_pos
hard,NON_LEAK,paired_hard_negative,"נושא: מעקב
בדוח הלקוח מופיע איש קשר בשם אלון מלכה.",0,email,pair_3_neg
hard,LEAK,diverse_positive,"מתוך הדוח: הועבר דוח עם רשימת לקוחות אסטרטגיים, הצעות מחיר ותנאי התקשרות",1,report,div_pos_9
hard,LEAK,paired_positive_email_context,תזכורת: בדוח מופיע איש קשר בשם דנה דנינו יחד עם המייל dana.danino@outlook.com.,1,chat,email_context_pos_78
medium,NON_LEAK,diverse_negative,סיכום פגישה: המערכת החדשה תושק ב28/8/2026 לפי הודעה רשמית שפורסמה לכלל העובדים.,0,meeting_note,div_neg_18
hard,LEAK,paired_positive_email_context,מתוך הדוח: בדוח מופיע איש קשר בשם שירה אברהם יחד עם המייל shira.avraham@mail.com.,1,report,email_context_pos_81
hard,NON_LEAK,paired_negative_medical,סיכום פגישה: המסמך מזכיר את איכילוב ואת רוני ברק.,0,meeting_note,medical_neg_65
medium,LEAK,diverse_positive,מתוך הדוח: בדוח משאבי האנוש מופיעים נתוני השכר של טל אוחנה עבור חודש מרץ.,1,report,div_pos_29
medium,LEAK,diverse_positive,"INC-428840 | בנספח מופיעים פרטי החשבון של שרון סעדה: בנק לאומי, חשבון 2539468959.",1,ticket,div_pos_9
hard,LEAK,confidential_context_positive,מתוך הדוח: הוצג סיכום התקדמות עבור פרויקט רימון ביום 24/10/2026 בחומר מסווג המיועד לשימוש פנימי בלבד. המסמך מוגבל לצוות המצומצם בלבד,1,report,conf_ctx_pos_72
hard,NON_LEAK,paired_hard_negative,INC-948133 | הועבר סיכום על יעל לוי שעובד בנייס בתל אביב.,0,ticket,pair_1_neg
hard,LEAK,diverse_positive,מתוך הדוח: הסיסמה הזמנית לחשבון של קרן אמסלם היא Welcome2026! ויש להחליף אותה מיד.,1,report,div_pos_49
hard,NON_LEAK,paired_hard_negative,מתוך הדוח: הפגישה עם ליאור מלכה נקבעה ל27/9/2026 באשדוד.,0,report,pair_2_neg
hard,LEAK,paired_hard_positive,"REQ-322267 | הפגישה עם אורן אברהם נקבעה ל21/6/2026 במודיעין, ובמסמך צורף גם הטלפון 0557359961.",1,ticket,pair_2_pos
medium,NON_LEAK,diverse_negative,מתוך הדוח: מספר הקריאה הוא HR-026457 ויש לעקוב אחריו מול כספים תודה,0,report,div_neg_51
hard,LEAK,focused_payroll_positive,"לתיעוד פנימי: המסמך כולל פירוט שכר, בונוסים ושמות העובדים במחלקת מכירות.",1,memo,payroll_ctx_pos_24
medium,NON_LEAK,diverse_negative,בדיקה: בדשבורד הציבורי מופיע סטטוס כללי של פרויקט מבצע שקמה.,0,chat,div_neg_14
hard,LEAK,confidential_context_positive,עדכון: נסקר סטטוס ההטמעה של פרויקט רימון ביום 13/5/2026 בנספח פנימי חסוי שאינו מיועד להפצה,1,chat,conf_ctx_pos_60
medium,NON_LEAK,diverse_negative,"נושא: מעקב
המערכת החדשה תושק ב19/12/2026 לפי הודעה רשמית שפורסמה לכלל העובדים.",0,email,div_neg_150
medium,LEAK,diverse_positive,"נושא: טיפול
פרטי הקשר של רון חדד: מייל ron.hadad@org.co.il, טלפון 0533060462.",1,email,div_pos_44
